Language,English,Abkhazian,Afar,Afrikaans,Albanian,Amharic,Arabic,Aragonese,Armenian,Assamese,Aymara,Azerbaijani,Bashkir,Basque,Bengali(Bangla),Bhutani,Bihari,Bislama,Bosnian,Breton,Bulgarian,Burmese,Byelorussian(Belarusian),Cambodian,Catalan,Chinese,Chinese(simplified),Chinese(traditional),Corsican,Croatian,Czech,Danish,Dutch,Esperanto,Estonian,Faeroese,Farsi,Fiji,Finnish,French,Frisian,Gaelic(Scottish),Gaelic(Manx),Galician,Georgian,German,Greek,Kalaallisut(Greenlandic),Guarani,Gujarati,HaitianCreole,Hausa,Hebrew,Hebrew,Hindi,Hungarian,Icelandic,Ido,Indonesian,Indonesian,Interlingua,Interlingue,Inuktitut,Inupiak,Irish,Italian,Japanese,Javanese,Kannada,Kashmiri,Kazakh,Kinyarwanda(Ruanda),Kirghiz,Kirundi(Rundi),Korean,Kurdish,Laothian,Latin,Latvian(Lettish),Limburgish(Limburger),Lingala,Lithuanian,Macedonian,Malagasy,Malay,Malayalam,Maltese,Maori,Marathi,Moldavian,Mongolian,Nauru,Nepali,Norwegian,Occitan,Oriya,Oromo(AfanGalla),Pashto(Pushto),Polish,Portuguese,Brazilian Portuguese,Punjabi,Quechua,Rhaeto-Romance,Romanian,Russian,Samoan,Sango,Sanskrit,Serbian,Serbo-Croatian,Sesotho,Setswana,Shona,SichuanYi,Sindhi,Sinhalese,Siswati,Slovak,Slovenian,Somali,Spanish,Sundanese,Swahili(Kiswahili),Swedish,Tagalog,Tajik,Tamil,Tatar,Telugu,Thai,Tibetan,Tigrinya,Tonga,Tsonga,Turkish,Turkmen,Twi,Uighur,Ukrainian,Urdu,Uzbek,Vietnamese,Volapük,Wallon,Welsh,Wolof,Xhosa,Yiddish,Yiddish,Yoruba,Zulu
ISO639-1Code,en,ab,aa,af,sq,am,ar,an,hy,as,ay,az,ba,eu,bn,dz,bh,bi,bs,br,bg,my,be,km,ca,zh,zh-Hans,zh-Hant,co,hr,cs,da,nl,eo,et,fo,fa,fj,fi,fr,fy,gd,gv,gl,ka,de,el,kl,gn,gu,ht,ha,he,iw,hi,hu,is,io,id,in,ia,ie,iu,ik,ga,it,ja,jv,kn,ks,kk,rw,ky,rn,ko,ku,lo,la,lv,li,ln,lt,mk,mg,ms,ml,mt,mi,mr,mo,mn,na,ne,no,oc,or,om,ps,pl,pt,pt-BR,pa,qu,rm,ro,ru,sm,sg,sa,sr,sh,st,tn,sn,ii,sd,si,ss,sk,sl,so,es,su,sw,sv,tl,tg,ta,tt,te,th,bo,ti,to,ts,tr,tk,tw,ug,uk,ur,uz,vi,vo,wa,cy,wo,xh,yi,ji,yo,zu
auth.back-to-login,Back to Login,,,,,,الرجوع الى تسجيل الدخول,,,,,,,,,,,,Nazad na prijavu,,,,,,,,返回登陆界面,,,,Zpět na přihlášení,,Terug naar login,,,,,,,Se connecter,,,,,,Zurück zum Login,,,,,,,,,,,,,,,,,,,,Torna al login,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Powrót do logowania,Voltar ao login,Voltar ao login,,,,,Вернуться к авторизации,,,,,,,,,,,,,,Nazaj na prijavo,,,,,,,,,,,,,,,,Giriş Dön,,,,Повернутися до авторизації,,,,,,,,,,,,
auth.choose-password,Choose password,,,,,,اختر كلمة مرور,,,,,,,,,,,,Odaberite šifru,,,,,,,,选择密码,,,,Vyberte heslo,,Wachtwoord kiezen,,,,,,,Choisir un mot de passe,,,,,,Passwort wählen,,,,,,,,,,,,,,,,,,,,Scegli password,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wybierz hasło,Escolha a palavra-passe,Escolha a senha,,,,,Введите пароль,,,,,,,,,,,,,,Izberi geslo,,,,,,,,,,,,,,,,Şifre Girin,,,,Введіть пароль,,,,,,,,,,,,
auth.email,Email,,,,,,البريد الالكتروني,,,,,,,,,,,,Email,,,,,,,,邮箱,,,,E-mail,,E-mail,,,,,,,Email,,,,,,E-Mail,,,,,,,,,,,,,,,,,,,,Email,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epost,,,,,Adres e-mail,Correio eletrónico,E-mail,,,,,Email,,,,,,,,,,,,,,E-pošta,,Email,,,,,,,,,,,,,,E-Posta,,,,Email,,,,,,,,,,,,
auth.forgot-password,Forgot password,,,,,,هل نسيت كلمة السر,,,,,,,,,,,,Zaboravi šifru,,,,,,,,忘记密码,,,,Zapomněli jste heslo?,,Wachtwoord vergeten,,,,,,,Mot de passe oublié,,,,,,Passwort vergessen,,,,,,,,,,,,,,,,,,,,Password dimenticata,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glemt passord,,,,,Zapomniałem hasła,Esqueci a palavra-passe,Esqueci a senha,,,,,Восстановить пароль,,,,,,,,,,,,,,Pozabljeno geslo,,Recuperar contraseña,,,,,,,,,,,,,,Şifrenizi Mi Unuttunuz,,,,Відновити пароль,,,,,,,,,,,,
auth.login,Login,,,,,,تسجيل الدخول,,,,,,,,,,,,Prijava,,,,,,,,登陆,,,,Přihlášení,,Login,,,,,,,Se connecter,,,,,,Anmelden,,,,,,,,,,,,,,,,,,,,Login,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logg inn,,,,,Zaloguj się,Fazer login,Fazer login,,,,,Войти,,,,,,,,,,,,,,Prijava,,Iniciar sesión,,,,,,,,,,,,,,Giriş Yap,,,,Увійти,,,,,,,,,,,,
auth.login-title,Login,,,,,,تسجيل الدخول,,,,,,,,,,,,Prijava,,,,,,,,登陆,,,,Přihlášení,,Login,,,,,,,Connexion,,,,,,Anmelden,,,,,,,,,,,,,,,,,,,,Login,,,,,,,,,,,,,,,,,,,,,,,,,,,,Logg inn,,,,,Logowanie,Entrar,Entrar,,,,,Войти,,,,,,,,,,,,,,Prijava,,Iniciar sesión,,,,,,,,,,,,,,Giriş Yap,,,,Увійти,,,,,,,,,,,,
auth.oauth-link-title,Re-enter your password to link :provider to your account,,,,,,أعد إدخال كلمة المرور الخاصة بك لربط: مزود بحسابك,,,,,,,,,,,,Unesite ponovo šifru da :provider povežete sa vašim računom,,,,,,,,重新输入密码将 :provider 连接到你的账户,,,,"Zadejte znovu heslo, abyste ke svému účtu připojili :provider",,Voer je wachtwoord opnieuw in om :provider met je account te verbinden,,,,,,,Entrez à nouveau votre mot de passe pour lier :provider à votre compte,,,,,,"Geben Sie Ihr Passwort erneut ein, um ihr Konto mit :provider zu verknüpfen",,,,,,,,,,,,,,,,,,,,Re-inserisci la tua password per connettere :provider al tuo account,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wprowadź hasło ponownie aby połączyć swoje konto z :provider,Re-insira a palavra-passe para vincular :provider à sua conta,Re-insira a senha para vincular :provider à sua conta,,,,,,,,,,,,,,,,,,,Ponovno vnesite svoje geslo za povezavo :provider z vašim računom,,,,,,,,,,,,,,,,:provider Hesabınızın Şifresini Yeniden Girin,,,,Повторно введіть пароль для посилання :provider до свого облікового запису,,,,,,,,,,,,
auth.otp,One-time password,,,,,,كلمة المرور لمرة واحدة,,,,,,,,,,,,Jednokratna šifra,,,,,,,,一次性密码,,,,Jednorázové heslo,,Eenmalig wachtwood,,,,,,,Mot de passe à usage unique,,,,,,Einmal-Passwort,,,,,,,,,,,,,,,,,,,,Password usa e getta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kod jednorazowy,Palavra-passe de uso único,Senha de uso único,,,,,,,,,,,,,,,,,,,Enkratno geslo,,,,,,,,,,,,,,,,Tek Seferlik Şifre,,,,Одноразовий пароль,,,,,,,,,,,,
